Name;Gebäude;Nettogrundfläche in m²;A_N in m²;WE;Bewohner;Geschosse;Anzahl Gebäude;Geschossfläche in m²;q_DHW in kWh/m²a;Q_DHW in kWh/a;DHW in l/d 45 °C;DHW in l/d 60 °C;GLF (VDI 2072);Durchfluss Spitzenlast in kW;Max. Zapfvolumenstrom in l/h 45 °C;Max. Zapfvolumenstrom in l/h 62 °C;l_sup;DN_sup;di_sup;da_sup;l_WE;DN_WE;di_WE;da_WE;l_circ;DN_circ;di_circ;da_circ;dV_circ;frac hull;df Gesamtmassenstrom durch HX in kg/h;df UA Nachwärme in W/K;df UA Vorwärme in W/K;Volumen in l;st UA-Wert in W/K;Beladeleistung in W;Belademassenstrom in kg/h;st Gesamtmassenstrom durch HX in kg/h;st UA Nachwärme in W/K;st UA Vorwärme in W/K;Anschlussleistung in W;Zirkulationstyp;f_enev;st45 Volumen in l;st45 UA-Wert in W/K;st45 Beladeleistung in W;st45 Belademassenstrom in kg/h;st45 T_store_set in °C
B_1;EFH 1 mittel;161.616;161.616;1;2.6;1.538461538;100;105.0504;8.53536;1379.450742;93.0866281;65.16063967;1;33.9648;836.5714286;563.0769231;24.2424;12;13;15;1;10;10;12;13.414128;10;10;12;38.78784;1;1200;6723.95;0;120;1.61349;3624.95;59.9403;98.72814;772.085;0;3935.88;16;1;200;1.91882;3311.47;81.353;46
B_2;EFH 2 groß;267.168;267.168;2;4.4;1.538461538;100;173.6592;9.65664;2579.945196;174.0971183;121.8679828;0.618553391;42.0180844;1034.928187;696.5862799;40.0752;12;13;15;1;10;10;12;22.174944;10;10;12;64.12032;1;1200;8349.35;0;150;1.73923;3875.8;64.0882;128.20852;859.238;0;4380.16;16;1;200;1.91882;4024.06;98.8591;48
B_3;RH 1;99.84;99.84;1;2;1.538461538;100;64.896;11.0064;1098.878976;74.15338255;51.90736778;1;33.9648;836.5714286;563.0769231;14.976;12;13;15;1;10;10;12;8.28672;10;10;12;23.9616;1;1200;6700.05;0;120;1.61349;3624.95;59.9403;83.9019;748.192;0;3814.08;16;1;200;1.91882;3311.47;81.353;46
B_4;RH 2;262.2;262.2;2;5;1.538461538;100;170.43;9.756;2558.0232;172.6178015;120.832461;0.618553391;42.0180844;1034.928187;696.5862799;39.33;12;13;15;1;10;10;12;21.7626;10;10;12;62.928;1;1200;8347.76;0;150;1.73923;4317.47;71.3914;134.3194;940.474;0;4794.28;16;1;200;1.91882;4461.4;110;48
B_7;MFH 1;246.888;246.888;3;5.4;2;100;123.444;11.70816;2890.604206;195.0606793;136.5424755;0.475341801;48.43466763;1192.972109;802.9619966;24.63609404;20;20;22;24.96251248;10;10;12;26.58919837;10;10;12;58.30435753;0.557982898;1200;6122.3;4511.99;150;1.73923;4598.88;76.0447;134.3490575;213.444;1105.81;5055.28;16;1;300;2.20973;3750.1;92.1288;46
B_8;MFH 2;493.776;493.776;6;10.8;3;100;164.592;11.70816;5781.208412;390.1213585;273.084951;0.312457479;63.67533461;1568.357995;1055.625574;37.52973833;20;20;22;44.46;12;13;15;43.54931044;10;10;12;91.7303551;0.859945613;1200;7355.4;6989.28;300;2.20973;5997.11;99.1651;190.8954551;259.182;1793.97;6718.72;16;1;400;2.4467;6243.08;153.374;47
B_9;MFH 3;933.12;933.12;12;21.6;6;100;155.52;11.8896;11094.42355;748.6620927;524.0634649;0.213504234;87.01954327;2143.338504;1442.631685;40.14692507;25;25;28;67.58302677;20;20;22;43.43564496;10;10;12;91.8414282;0.955609124;1534.473114;11310.7;7929.3;400;2.4467;10381.1;171.656;263.4974282;537.934;2255.81;11122.1;16;1;500;2.65023;10930.6;268.533;48
B_10;MFH 4;1261.44;1261.44;18;28.8;6;100;210.24;12.1968;15385.53139;1038.230069;726.7610483;0.173962241;106.3546692;2619.573133;1763.174224;60.90048923;25;25;28;102.647329;15;16;18;64.86689797;10;10;12;138.3401432;0.95011069;1901.514367;13057.4;10356.6;400;2.4467;13664.1;225.943;364.2831432;682.657;2958.17;14752.9;16;1;600;2.83056;13452.8;330.494;49
B_11;MFH 5;1486.08;1486.08;24;36;6;100;247.68;12.5232;18610.47706;1255.852423;879.0966961;0.151645406;123.6145412;3044.693133;2049.312686;78.56965995;25;25;28;120.9626732;15;16;18;81.16500005;10;10;12;176.0650887;0.946975886;2225.377775;14734.2;12445.9;500;2.65023;15738.6;260.245;436.3100887;753.654;3642.08;17112.3;16;1;800;3.14324;15121.7;371.496;50
B_12;MFH 6;1857.6;1857.6;30;45;7.5;100;247.68;12.5232;23263.09632;1569.815529;1098.87087;0.13695376;139.5482116;3437.148069;2313.465047;65.3525538;32;32;35;134.5865635;20;20;22;76.761493;10;10;12;166.9600234;0.968180831;2480.42507;17634.9;12999.6;600;2.83056;18475.3;305.497;472.4570234;960.044;3811.46;19753.6;16;1;800;3.14324;18876.2;463.731;50
B_13;MFH 7;2229.12;2229.12;36;54;9;100;247.68;12.5232;27915.71558;1883.778634;1318.645044;0.126388889;154.53984;3806.4;2562;72.17413482;32;32;35;161.4604144;20;20;22;84.81509444;10;10;12;184.4268668;0.973367275;2746.426867;24036.4;9171.76;800;3.14324;20132.4;332.898;517.3248668;1050.84;4087.28;21580.6;16;1;1000;3.4118;21115.6;518.746;51
